tconst	titleType	primaryTitle	originalTitle	startYear	endYear
tt0060028	tvSeries	Star Trek	Star Trek	1966	1969
tt0106145	tvSeries	Star Trek: Deep Space Nine	Star Trek: Deep Space Nine	1993	1999
tt5171438	tvSeries	Star Trek: Discovery	Star Trek: Discovery	2017	2024
tt0244365	tvSeries	Star Trek: Enterprise	Enterprise	2001	2005
tt9184820	tvSeries	Star Trek: Lower Decks	Star Trek: Lower Decks	2020	2024
tt8806524	tvSeries	Star Trek: Picard	Star Trek: Picard	2020	2023
tt9795876	tvSeries	Star Trek: Prodigy	Star Trek: Prodigy	2021	2024
tt9059594	tvSeries	Star Trek: Short Treks	Star Trek: Short Treks	2018	2020
tt12327578	tvSeries	Star Trek: Strange New Worlds	Star Trek: Strange New Worlds	2022	
tt0069637	tvSeries	Star Trek: The Animated Series	Star Trek	1973	1975
tt0092455	tvSeries	Star Trek: The Next Generation	Star Trek: The Next Generation	1987	1994
tt0112178	tvSeries	Star Trek: Voyager	Star Trek: Voyager	1995	2001
